query,expected_drugs
Obat untuk radioterapi atau paska operasi,"onetic 4 mg 10 tablet,onetic 8 mg 10 tablet"
Obat untuk membantu memelihara kesehatan fungsi hati,pien tze huang zhang zhou 3 g tablet
Obat untuk secara tradisional membantu sirkulasi darah,pien tze huang zhang zhou 3 g tablet
Obat untuk membantu meredakan demam dan membantu memelihara kesehatan kulit,pien tze huang zhang zhou 3 g tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. mengobati gangguan saluran cerna,piralen 10 mg 10 tablet
Obat untuk luka lambung dan usus.,piralen 10 mg 10 tablet
Obat untuk dispepsia/gangguan saluran cerna,primperan drops 10 ml
Obat untuk dispepsia paska gastrektomi dan intubasi.,primperan drops 10 ml
Obat untuk informasi obat ini hanya untuk kalangan medis. mengatasi mual dan muntah akut.,regit 5 mg/5 ml sirup 60 ml
Obat untuk informasi obat ini hanya untuk kalangan medis. pengobatan jangka pendek untuk mual dan muntah. gejala dispepsia fungsional.,tilidon 10 mg 10 tablet
Obat untuk mual dan muntah karena berbagai sebab. keluhan dispepsia dengan pengosongan saluran cerna yang lambat,tilidon sirup 60 ml
Obat untuk refluks esofafeal. rasa penuh di epigastrum atau abdomen.,tilidon sirup 60 ml
Obat untuk mual dan muntah akibat kemoterapi & radioterapi,trovensis 8 mg 10 tablet
Obat untuk mual-muntah paska operasi,trovensis 8 mg 10 tablet
Obat untuk gastroparesis akut dan berulang,vertivom sirup 60 ml
Obat untuk rasa panas di uluhati yang berhubungan dengan reflux esofagitis,vertivom sirup 60 ml
Obat untuk mual dan muntah paska anestesi atau paska operasi.,vertivom sirup 60 ml
Obat untuk untuk dispepsia fungsional,vesperum drops 15 ml
Obat untuk mual dan muntah.,vesperum drops 15 ml
Obat untuk mual dan muntah akibat kemo- & radioterapi,vomceran 4 mg 10 tablet
Obat untuk mencegah mual-muntah paska operasi,vomceran 4 mg 10 tablet
Obat untuk mual dan muntah karena berbagai sebab termasuk akibat levodopa/bromokriptin,"vomecho 5mg/5ml suspensi 60ml,vomecho drops 10 ml"
Obat untuk radioterapi & paska operasi,"vometron 4 mg 10 tablet,vometron tablet 8 mg"
Obat untuk mual dan muntah yang diinduksi obat kemoterapi sitotoksik,vometron sirup 50 ml
Obat untuk atau pasca operasi.,vometron sirup 50 ml
Obat untuk mual dan muntah akibat kemoterapi dan radioterapi serta operasi,"vomigo 4 mg 10 tablet,vomigo 8 mg 10 tablet"
Obat untuk mual muntah karena pemberian levodopa dan bromkriptin > 12 minggu. terapi simtomatik untuk dispepsia fungsional.,vomina sirup 60 ml
Obat untuk anak2 : mual & muntah akibat kemoterapi & radioterapi,"vomistop drops 10 ml,vomistop sirup 60 ml"
Obat untuk informasi obat ini hanya untuk kalangan medis. dispesia fungsional,vomitas fdt 10 mg 10 tablet
Obat untuk termasuk yang disebabkan karena levodopa dan bromokriptin yang lama terapinya lebih dari 12 minggu.,vomitas fdt 10 mg 10 tablet
Obat untuk mual & muntah akibat kemoterapi & radioterapi pada anak2,vomitas sirup 60 ml
Obat untuk tidak untuk mual atau muntah pasca operasi. mual dan muntah akibat penggunaal levodopa dan bromokriptin selama > 12 minggu. terapi simtomatik dispepsia fungsional. mual dan muntah pada anak akibat kemoterapi dan radioterapi.,yaridon 10 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. diare akut non spesifik & diare kronik,"imodium 2 mg 10 tablet,lodia 2 mg 10 tablet,lopamid 2 mg 10 tablet,loperamide 2 mg 10 tablet"
Obat untuk obat ini digunakan untuk membantu memperkuat sistem kekebalan tubuh,zinc 20 mg 10 tablet
Obat untuk dan mengatasi defisiensi zinc pada kasus diare.,zinc 20 mg 10 tablet
Obat untuk obat ini dapat digunakan untuk pengobatan simtomatik pada diare non-spesifik,new diatabs 4 tablet
Obat untuk yaitu diare yang tidak diketahui penyebabnya dengan jelas.,new diatabs 4 tablet
Obat untuk obat ini digunakan untuk mencegah dan mengobati dehidrasi akibat diare dan muntah.,oralit 200 4.1 g 1 sachet
Obat untuk terapi pelengkap diare pada anak yang dikombinasikan dengan ors ( oral rehydration salt),orezinc sirup 60 ml
Obat untuk menanggulangi dehidrasi ringan sampai sedang pada bayi dan anak-anak akibat diare.,"pedialyte bubble gum syrup 500 ml,pedialyte original 500 ml,renalyte solution 200 ml"
Obat untuk membantu mengurangi frekuensi buang air besar dan menyerap racun pada penderita diare. bukan sebagai pengganti oralit.,norit 40 tablet
Obat untuk untuk mengatasi diare yang tidak diketahui penyebabnya dengan jelas.,entrostop 20 tablet
Obat untuk sebagai terapi komplementer untuk cairan rehidrasi oral,daryazinc drops 15 ml
Obat untuk untuk mengganti cairan tubuh yg hilang & mencegah dehidrasi pada anak. digunakan bersamaan dengan ors/oralit,daryazinc drops 15 ml
Obat untuk membantu mengurangi frekuansi buang air besar,"diapet 10 kapsul,diapet 4 kapsul,diapet anak sachet 10 ml,diapet anak sirup 60 ml"
Obat untuk pelengkap ors yang diperlukan untuk pengganti cairan tubuh dan pencegahan dehidrasi pada anak,daryazinc syrup 60 ml
Obat untuk dan digunakan bersama ors (oral rehydration salt)/oralit,daryazinc syrup 60 ml
Obat untuk pengobatan simtomatik pada diare non spesifik.,neo kaolana suspensi 120 ml
Obat untuk untuk pengobatan simtomatik pada diare dimana tidak diketahui penyebabnya dengan jelas,guanistrep suspensi 60 ml
Obat untuk membantu mengurangi frekuensi buang air besar dan membantu memadatkan tinja serta menyerap racun pada penderita diare serta bukan sebagai pengganti oralit,diapet nr 4 kapsul
Obat untuk meredakan diare non spesifik.,molagit 10 tablet
Obat untuk analgesik utk hemoroid interna & eksterna,superhoid suppositoria
Obat untuk fisura ani,superhoid suppositoria
Obat untuk proktitis.,superhoid suppositoria
Obat untuk terapi pelengkap diare pada anak-anak digunakan bersama dengan oral rehydration salts,zincpro sirup 60 ml
Obat untuk pelengkap untuk pengobatan diare pada anak-anak dibawah 5 tahun,"rz-20 sirup 60 ml,zinkid sirup 10mg/5ml 100ml"
Obat untuk diberikan bersama larutan oralit.,"rz-20 sirup 60 ml,zinkid sirup 10mg/5ml 100ml"
Obat untuk membantu mengurangi frekuensi buang air besar (mencret/ diare) dan membantu memadatkan tinja,"entrostop anak sirup 10 ml,entrostop herbal sirup 15 ml"
Obat untuk untuk pengobatan simptomatik pada diare yang tidak diketahui penyebabnya.,diagit 10 tablet
Obat untuk membantu meredakan gangguan pencernaan,po chai pills 10 tube
Obat untuk mengurangi frekuensi diare,"tay pin san 12 sachet,tay pin san sachet"
Obat untuk untuk pengobatan simptomatik pada diare non spesifik,atagip 10 tablet
Obat untuk terapi simtomatik untuk diare non spesifik.,"diagit 4 tablet,neo diaform 10 tablet"
Obat untuk diare akut non spesifik & diare kronik,inamid 2 mg 10 tablet
Obat untuk rehidrasi komplementer untuk pengganti cairan tubuh,"interzinc sirup 60 ml,trozinc syrup 60 ml"
Obat untuk mencegah dehidrasi pada anak,"interzinc sirup 60 ml,trozinc syrup 60 ml"
Obat untuk dapat digunakan bersamaan dengan larutan rehidrasi oral,interzinc sirup 60 ml
Obat untuk kaotin suspensi digunakan untuk membantu pengobatan simtomatik pada diare,kaotin suspensi 60 ml
Obat untuk karena pencernaan yang tidak normal,kaotin suspensi 60 ml
Obat untuk dan diare karena penyebab lain yang tidak diketahui secara pasti.,kaotin suspensi 60 ml
Obat untuk terapi pelengkap diare pada anak-anak. digunakan bersama garam rehidrasi oral (oralit).,l-zinc sirup 100 ml
Obat untuk untuk pengobatan simptomatik pada diare non spesifik.,omegdiar 10 tablet
Obat untuk suplementasi zink dan digunakan bersama dengan cairan rehidrasi oral (oralit) untuk mengganti cairan tubuh dan mencegah dehidrasi pada anak.,zincpro drop 15 ml
Obat untuk membantu remisi penyakit crohn ringan sampai sedang yang melibatkan usus halus ileum dan/atau usus besar menurun,budenofalk 3 mg 10 kapsul
Obat untuk diare akut dan kronik,colidium 2 mg 10 kaplet
Obat untuk terapi pelengkap diare pada anak yang diberikan bersama dengan ors ( oral rehydration salt),holizinc sirup 60 ml
Obat untuk pelengkap untuk pengobatan diare pada anak-anak di bawah 5 tahun dan diberikan bersama dengan garam rehidrasi oral (ors) atau larutan oralit.,lecozinc 10 tablet
Obat untuk pengobatan diare akut non spesifik dan kronik,lexadium 2 mg 6 tablet
Obat untuk digunakan untuk menghentikan diare dan mengurangi frekuensi buang air besar dan memperbaiki konsistensi feses yang cair.,opidiar suspensi 120 ml
Obat untuk dapat mencegah dan mengobati dehidrasi pada muntah dan diare,pharolit sitrat powder
Obat untuk gastroenteritis (infeksi yang terjadi pada usus atau perut),pharolit sitrat powder
Obat untuk kolera (diare akut karena adanya infeksi pada usus),pharolit sitrat powder
Obat untuk dapat bersamaan dengan larutan rehidrasi oral,trozinc syrup 60 ml
Obat untuk pelengkap untuk pengobatan diare pada anak-anak usia < 5 tahun. mencegah atau mengobati dehidrasi dan untuk mencegah kekurangan nutrisi. mengurangi lama dan tingkat keparahan dari dehidrasi.,zinkid 20 mg 10 tablet
Obat untuk obat cacing yang digunakan untuk mengatasi infeksi cacing kremi (enterobius vermicularis),"combantrin 125 mg 4 tablet,combantrin 250 mg 2 tablet,combantrin jeruk sirup 10 ml"
Obat untuk cacing gelang (ascaris lumbricoides),"combantrin 125 mg 4 tablet,combantrin 250 mg 2 tablet,combantrin jeruk sirup 10 ml"
Obat untuk cacing tambang (ancylostoma duodenale),"combantrin 125 mg 4 tablet,combantrin 250 mg 2 tablet,combantrin jeruk sirup 10 ml"
Obat untuk cacing tambang (necator americanus),"combantrin 125 mg 4 tablet,combantrin 250 mg 2 tablet,combantrin jeruk sirup 10 ml"
Obat untuk cacing trichostrongylus colubriformis dan trichostrongylus orientalis.,"combantrin 125 mg 4 tablet,combantrin 250 mg 2 tablet,combantrin jeruk sirup 10 ml"
Obat untuk informasi obat ini hanya untuk kalangan medis. infeksi tunggal atau campuran dari cacing,albendazole 400 mg 10 tablet kunyah
Obat untuk obat cacing yang digunakan untuk infeksi cacing kremi,vermox tablet 500 mg
Obat untuk cacing gelang,vermox tablet 500 mg
Obat untuk cacing tambang,vermox tablet 500 mg
Obat untuk cacing cambuk,vermox tablet 500 mg
Obat untuk atau infeksi cacing campuran tersebut.,vermox tablet 500 mg
Obat untuk membantu meringankan gangguan peredaran darah di kaki / varises. membantu meringankan wasir kronik dan akut.,ardium 500 mg 15 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. hemoroid/wasir internal dan eksternal termasuk yang disertai perdarahan,"borraginol-s salep 15 g,borraginol-s suppositoria"
Obat untuk luka2 di anus & perineum,"borraginol-s salep 15 g,borraginol-s suppositoria"
Obat untuk prolaps anus & fistula,"borraginol-s salep 15 g,borraginol-s suppositoria"
Obat untuk peradangan disekitar rektum,"borraginol-n salep 15 g,borraginol-s salep 15 g,borraginol-s suppositoria"
Obat untuk pruritus di anus,"borraginol-n salep 15 g,borraginol-s salep 15 g,borraginol-s suppositoria"
Obat untuk obat ini digunakan untuk mengatasi susah buang air besar/bab (sembelit),"l-lax gel 5 ml,microlax gel 5 ml"
Obat untuk khususnya diberikan pada penderita yang harus tinggal di tempat tidur,"l-lax gel 5 ml,microlax gel 5 ml"
Obat untuk orang dewasa,"l-lax gel 5 ml,microlax gel 5 ml"
Obat untuk lansia,"l-lax gel 5 ml,microlax gel 5 ml"
Obat untuk anak-anak dan wanita hamil.,"l-lax gel 5 ml,microlax gel 5 ml"
Obat untuk membantu meringankan gejala wasir.,"ambeven 10 kapsul,amvar 6 kaplet,borobudur wasir 100 pil,borobudur wasir 12 kapsul"
Obat untuk konstipasi kronik dan ensefalopati portal sistemik,"lactulax rasa coklat sirup 200 ml,lactulax sirup 120 ml"
Obat untuk untuk mengatasi masalah sembelit/ susah bab/ konstipasi. untuk persiapan prosedur diagnostic sebelum operasi,dulcolax 5 mg 10 tablet
Obat untuk suplemen penambah serat,"fibrefirst 15 sachet,fibrefirst 7 sachet"
Obat untuk informasi obat ini hanya untuk kalangan medis. hemoroid/wasir internal dan eksternal yang disertai peradangan dan perdarahan,"faktu salep,faktu suppositoria"
Obat untuk goresan2 luka di anus,faktu salep
Obat untuk hemoroid/wasir internal dan eksternal termasuk yang disertai perdarahan,borraginol-n salep 15 g
Obat untuk luka-luka terbuka di anus,borraginol-n salep 15 g
Obat untuk prolaps anus,"borraginol n suppositoria,borraginol-n salep 15 g"
Obat untuk informasi obat ini hanya untuk kalangan medis. wasir internal & eksternal,borraginol n suppositoria
Obat untuk wasir disertai perdarahan,borraginol n suppositoria
Obat untuk luka terbuka pada anus,borraginol n suppositoria
Obat untuk periproktitis (radang/inflamasi pada rectum),borraginol n suppositoria
Obat untuk pruritus pada anus,borraginol n suppositoria
Obat untuk untuk mengatasi masalah sembelit/ susah bab/ konstipasi. untuk persiapan prosedur terapi diagnostic,"dulcolax 5 mg 4 tablet,neodulax 5 mg 4 tablet"
Obat untuk terapi sebelum dan sesudah operasi dan dalam kondisi untuk mempercepat defekasi.,"dulcolax 5 mg 4 tablet,neodulax 5 mg 4 tablet"
Obat untuk pelicin jalannya feses (kotoran),laxadine emulsi 60 ml
Obat untuk penambahan volume feses (kotoran) secara sistematis sehingga mudah dikeluarkan,laxadine emulsi 60 ml
Obat untuk konstipasi rektal dan sigmoid,microlax family gel 3 tube
Obat untuk konstipasi pada masa kehamilan,microlax family gel 3 tube
Obat untuk konstipasi habitual dan transitorik pada anak,microlax family gel 3 tube
Obat untuk tinja/feses yang mengeras/menggumpal dalam usus besar (fekaloma dan skibala),microlax family gel 3 tube
Obat untuk persiapan sebelum operasi (partus,microlax family gel 3 tube
Obat untuk ginekologi,microlax family gel 3 tube
Obat untuk pembedahan anus),microlax family gel 3 tube
Obat untuk ,"microlax family gel 3 tube,pagoda salep 10 gr,total care mouthwash cool mint 250 ml"
Obat untuk membantu meringankan gangguan peredaran darah di kaki/ varises. membantu meringankan wasir kronik dan akut.,ardium 1000 mg 10 tablet
Obat untuk untuk pengobatan konstipasi pada pasien dengan konstipasi kronis untuk portal systemic encephalopathy termasuk keadaan pre koma hepatik & koma hepatic,dulcolactol sirup 60 ml
Obat untuk terapi konstipasi. persiapan pemeriksaan diagnostik,"custodiol 5 mg 10 tablet,dulcolax adult 10 mg 5 suppositoria,dulcolax pediatric 5 mg 6 suppositoria"
Obat untuk terapi sebelum dan sesudah operasi,"custodiol 5 mg 10 tablet,dulcolax adult 10 mg 5 suppositoria,dulcolax pediatric 5 mg 6 suppositoria"
Obat untuk dan pada kondisi yang membutuhkan defekasi.,"custodiol 5 mg 10 tablet,dulcolax adult 10 mg 5 suppositoria,dulcolax pediatric 5 mg 6 suppositoria"
Obat untuk pedilax digunakan untuk meringankan: gejala konstipasi jangka pendek (occasional constipation) dan gejala konstipasi jangka panjang (chronic constipation) pada orang dewasa. gejala konstipasi jangka panjang (chronic constipation) pada anak.,pedilax 17 g 1 sachet
Obat untuk wasir/hemoroid,venaron 300 mg 10 kapsul
Obat untuk pencegahan varises,venaron 300 mg 10 kapsul
Obat untuk meredakan konstipasi untuk bilas usus sebelum proktoskopi,fleet enema 133 ml
Obat untuk sigmoidoskopi dan pemeriksaan x _?ray,fleet enema 133 ml
Obat untuk informasi obat ini hanya untuk kalangan medis. hemoroid akut internal dan eksternal,haemocaine salep 15 g
Obat untuk fisura anal,haemocaine salep 15 g
Obat untuk proktitis,"haemocaine salep 15 g,ultraproct-n cream 10 g,ultraproct-n suppositoria"
Obat untuk diberikan pada keadaan konstipasi yang memerlukan: - perbaikan peristaltik - pelicin jalannya faeces- penambahan volume faeces secara sistematis sehingga faeces mudah dikeluarkan. persiapan menjelang tindakan radiologis dan operasi,laxadine emulsi 110 ml
Obat untuk konstipasi (untuk bilas usus sebelum dan sesudah operasi),laxadine sirup 30 ml
Obat untuk bilas usus sebelum pemeriksaan radiologi,laxadine sirup 30 ml
Obat untuk membantu melancarkan buang air besar . membantu melunakkan tinja,laxing 4 kapsul
Obat untuk informasi obat ini hanya untuk kalangan medis. hemoroid,"ultraproct-n cream 10 g,ultraproct-n suppositoria"
Obat untuk fisura anal superfisial,"ultraproct-n cream 10 g,ultraproct-n suppositoria"
Obat untuk ekstrim anal,"ultraproct-n cream 10 g,ultraproct-n suppositoria"
Obat untuk pengobatan pra dan pasca operasi,"ultraproct-n cream 10 g,ultraproct-n suppositoria"
Obat untuk membantu melancarkan buang air besar.,vegeta herbal 6 sachet
Obat untuk meredakan gejala gangguan pembuluh darah vena seperti wasir,venosmil gel
Obat untuk varises,"venosmil 200 mg 10 kapsul,venosmil gel"
Obat untuk membantu mengurangi gejala wasir,anadium 10 kaplet
Obat untuk nyeri pada kaki & udema,anadium 10 kaplet
Obat untuk insufiensi vena idiopatik pada tungkai bawah yang sangat nyeri dan kram pada tungkai,ciflon 6 kaplet
Obat untuk hemoroid (wasir) dan hemoroid akut,ciflon 6 kaplet
Obat untuk membersihkan usus sebelum tindakan medis,fleet phosposoda 45 ml
Obat untuk seperti rontgen,fleet phosposoda 45 ml
Obat untuk operasi,fleet phosposoda 45 ml
Obat untuk dan kolonoskopi,fleet phosposoda 45 ml
Obat untuk meredakan gejala perdarahan dan pelebaran vaskular,hemorogard 10 kapsul
Obat untuk untuk melembekkan feses/tinja pada konstipasi atoni,kompolax sirup 60 ml
Obat untuk peradangan sekitar anus misalnya hemoroid,kompolax sirup 60 ml
Obat untuk paska/setelah operasi,kompolax sirup 60 ml
Obat untuk konstipasi. persiapan prosedur diagnosa sebelum dan sesudah operasi dan pd kondisi yg membutuhkan defekasi.,laxarec gel 5 ml
Obat untuk untuk membantu memenuhi kebutuhan serat,vegeta scrubber 6 sachet
Obat untuk membantu meringankan gangguan peredaran darah di kaki/ varises serta membantu meringankan gejala wasir,veridin 6 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. rinitis menahun,"alergia sirup 60 ml,alerzin 10 mg 10 tablet,cerini 10 mg 10 kaplet,cerini drop 20 ml,cerini sirup 60 ml,cetirizine 10 mg 10 tablet,lerzin 10 mg 10 kapsul,lerzin 5 mg/ 5 ml sirup 60 ml,lerzin drops 15 ml,ozen 10 mg 10 tablet,ozen drops 12 ml,ozen sirup 60 ml,ryvel drops 10 ml,ryvel sirup 60 ml"
Obat untuk rinitis alergi seasonal,"alergia sirup 60 ml,alerzin 10 mg 10 tablet,cerini 10 mg 10 kaplet,cerini drop 20 ml,cerini sirup 60 ml,cetirizine 10 mg 10 tablet,incidal-od 4 kapsul,lerzin 10 mg 10 kapsul,lerzin 5 mg/ 5 ml sirup 60 ml,lerzin drops 15 ml,ozen 10 mg 10 tablet,ozen drops 12 ml,ozen sirup 60 ml,ryvel drops 10 ml,ryvel sirup 60 ml"
Obat untuk konjungtivitis,"alergia sirup 60 ml,alerzin 10 mg 10 tablet,allergen 4 mg 10 kaplet,cendo posop minidose 0.6 ml,cerini 10 mg 10 kaplet,cerini drop 20 ml,cerini sirup 60 ml,cetirizine 10 mg 10 tablet,dibekacin 0.3% eye drops 5 ml,erlamycetin eye drops 10 ml,incidal-od 4 kapsul,lerzin 10 mg 10 kapsul,lerzin 5 mg/ 5 ml sirup 60 ml,lerzin drops 15 ml,ozen 10 mg 10 tablet,ozen drops 12 ml,ozen sirup 60 ml,ryvel drops 10 ml,ryvel sirup 60 ml,trifachlor 4 mg 10 tablet,zecamex 4 mg 12 tablet"
Obat untuk pruritus,"alergia sirup 60 ml,alerzin 10 mg 10 tablet,cerini 10 mg 10 kaplet,cerini drop 20 ml,cerini sirup 60 ml,cetirizine 10 mg 10 tablet,desolex 0.05% lotion 10 ml,desolex 0.05% lotion 30 ml,desolex 0.05% salep 10 g,heptasan 4 mg 10 tablet,incidal-od 4 kapsul,lerzin 10 mg 10 kapsul,lerzin 5 mg/ 5 ml sirup 60 ml,lerzin drops 15 ml,ozen 10 mg 10 tablet,ozen drops 12 ml,ozen sirup 60 ml,ryvel drops 10 ml,ryvel sirup 60 ml,visancort cream 10 g"
Obat untuk urtikaria idiopati kronis.,"alergia sirup 60 ml,alerzin 10 mg 10 tablet,cerini 10 mg 10 kaplet,cerini drop 20 ml,cerini sirup 60 ml,cetirizine 10 mg 10 tablet,incidal-od 4 kapsul,lerzin 10 mg 10 kapsul,lerzin 5 mg/ 5 ml sirup 60 ml,lerzin drops 15 ml,ozen 10 mg 10 tablet,ozen drops 12 ml,ozen sirup 60 ml,ryvel drops 10 ml,ryvel sirup 60 ml"
Obat untuk informasi obat ini hanya untuk kalangan medis. kondisi alergi seperti rinitis perenial,"alcet sirup 60 ml,cetinal 10 mg 10 tablet kunyah,cetirgi 10 mg 10 tablet,cetrin 10 mg 10 tablet,histrine 10 mg 10 tablet,intrizin 10 mg 10 tablet,ritez drops 10 ml,ritez ft 10 mg 10 tablet,ritez sirup 60 ml,ryvel 10 mg 10 tablet,ryvel plus 10 tablet,tiriz 10 mg 10 tablet"
Obat untuk rinitis alergi dan urtikaria idiopatik kronik.,cetirgi 10 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. obat ini digunakan untuk meredakan gejala alergi seperti hay fever,"alloris 10 mg 10 tablet,claritin 10 mg 10 tablet,claritin 10 mg 5 tablet,claritin sirup 60 ml,inversyn 10 mg 10 tablet,loratadine 10 mg 10 tablet,winatin 10 mg 10 tablet"
Obat untuk urtikaria.,"alloris 10 mg 10 tablet,claritin 10 mg 10 tablet,claritin 10 mg 5 tablet,claritin sirup 60 ml,inversyn 10 mg 10 tablet,loratadine 10 mg 10 tablet,winatin 10 mg 10 tablet"
Obat untuk informasi obat ini hanya untuk kalangan medis. hay fever berat,"bufacaryl 10 kaplet,dextamine 10 tablet"
Obat untuk asma bronkhial khronik,"bufacaryl 10 kaplet,dextamine 10 tablet"
Obat untuk dermatitis atopik & kontak,"bufacaryl 10 kaplet,dextamine 10 tablet"
Obat untuk reaksi terhadap obat,"bufacaryl 10 kaplet,dextamine 10 tablet"
Obat untuk serum sickness,"bufacaryl 10 kaplet,dextamine 10 tablet,soldextam 10 kaplet"
Obat untuk konjungtivitis alergi,"bufacaryl 10 kaplet,dextamine 10 tablet,intrizin drops 15 ml,intrizin sirup 60 ml,soldextam 10 kaplet"
Obat untuk keratitis & gangguan peradangan okular,"bufacaryl 10 kaplet,dextamine 10 tablet"
Obat untuk informasi obat ini hanya untuk kalangan medis. alergi yang memerlukan terapi dengan kostikosteroid,"dexteem plus 10 tablet,mexon 10 tablet"
Obat untuk informasi obat ini hanya untuk kalangan medis. meredakan gejala-gejala yang berhubungan dengan rinitis alergi pada orang dewasa & anak berusia 12 tahun atau lebih,"telfast 120 mg 10 tablet,telfast 60 mg 10 tablet"
Obat untuk informasi obat ini hanya untuk kalangan medis. mengatasi kasus-kasus alergi dan inflamasi yang membutuhkan terapi dengan kortikosteroid,ocuson 10 tablet
Obat untuk rinitis menahun,"estin drop 10 ml,incidal-od 4 kapsul"
Obat untuk informasi obat ini hanya untuk kalangan medis. stomatis altosa,bufacomb cream 5 gr
Obat untuk periadenitis mukosa nekreotika rekurens,bufacomb cream 5 gr
Obat untuk ulkus aftosa herpertiformis,bufacomb cream 5 gr
Obat untuk ulserasi traumatik,bufacomb cream 5 gr
Obat untuk ulserasi karena obat,bufacomb cream 5 gr
Obat untuk informasi obat ini hanya untuk kalangan medis. meredakan alergi rinitis nasal & non-nasal (termasuk alergi rinitis intermiten/sewaktu & persisten/terus-menerus),aerius 5 mg 15 tablet
Obat untuk meredakan gejala pruritus,"aerius 5 mg 15 tablet,destavell 5 mg 10 tablet,destavell sirup 60 ml"
Obat untuk mengurangi jumlah & luasnya area hives pada pasien dengan urtikaria khronik idiopathik,"aerius 5 mg 15 tablet,destavell 5 mg 10 tablet,destavell sirup 60 ml"
Obat untuk informasi obat ini hanya untuk kalangan medis. pengobatan gejala-gejala yang berhubungan dengan kondisi alergi seperti rinitis alergi musiman (termasuk gejala-gejala pada mata),"avocel 5 mg 10 tablet,xybat 5 mg 10 tablet"
Obat untuk rinitis alergi perenial,"avocel 5 mg 10 tablet,xybat 5 mg 10 tablet,xyzal 5 mg 10 tablet"
Obat untuk urtikaria idiopatik kronik.,"avocel 5 mg 10 tablet,estin drop 10 ml,xybat 5 mg 10 tablet"
Obat untuk urticaria (gatal-gatal atau biduran),"ceteme 12 tablet,orphen 4 mg 10 kaplet"
Obat untuk seasonal hayfever,"ceteme 12 tablet,orphen 4 mg 10 kaplet"
Obat untuk rhinitis,"ceteme 12 tablet,orphen 4 mg 10 kaplet"
Obat untuk penyakit serum,"ceteme 12 tablet,orphen 4 mg 10 kaplet"
Obat untuk pengaruh pemakaian obat-obatan seperti sulfa atau penicillin.,"ceteme 12 tablet,orphen 4 mg 10 kaplet"
Obat untuk informasi obat ini hanya untuk kalangan medis. untuk mengatasi kasus alergi di mana diperlukan terapi dengan kortikosteroid,grafachlor 10 kaplet
Obat untuk informasi obat ini hanya untuk kalangan medis. alergi,"biolergy 50 mg 10 tablet,interhistin 50 mg 10 tablet"
Obat untuk termasuk urtikaria,"biolergy 50 mg 10 tablet,interhistin 50 mg 10 tablet"
Obat untuk rinitis,"alleron 4 mg 10 kaplet,biolergy 50 mg 10 tablet,interhistin 50 mg 10 tablet"
Obat untuk informasi obat ini hanya untuk kalangan medis. pruritus karena kondisi alergi misalnya urtikaria kronis,bestalin 25 mg 10 tablet
Obat untuk atopik & dermatosis kontak. menghilangkan kecemasan.,bestalin 25 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. alergi: urtikaria dan angioedema,"pronam 4 mg 10 kaplet,pronicy 4 mg 10 kaplet"
Obat untuk cold urticaria,"heptasan 4 mg 10 tablet,pronam 4 mg 10 kaplet,pronicy 4 mg 10 kaplet"
Obat untuk allergic rhinitis,"pronam 4 mg 10 kaplet,pronicy 4 mg 10 kaplet"
Obat untuk vasomotor rhinitis,"pronam 4 mg 10 kaplet,pronicy 4 mg 10 kaplet"
Obat untuk alergi seperti urtikaria,alleron 4 mg 10 kaplet
Obat untuk dermatitis,"alleron 4 mg 10 kaplet,oviskin-n cream 10 g,pyderma 0.25% cream 10 g"
Obat untuk hay faver,alleron 4 mg 10 kaplet
Obat untuk informasi obat ini hanya untuk kalangan medis. pengobatan rinitis musiman atau tahunan,intrizin sirup 60 ml
Obat untuk urtikaria idiopatik kronik,"aerius sirup 60 ml,intrizin drops 15 ml,intrizin sirup 60 ml,xyzal 5 mg 10 tablet"
Obat untuk rinitis alergi dan urtikaria idiopatik kronik,"alcet sirup 60 ml,cetinal 10 mg 10 tablet kunyah,cetrin 10 mg 10 tablet,falergi 10 mg 10 tablet,histrine 10 mg 10 tablet,intrizin 10 mg 10 tablet,ritez drops 10 ml,ritez ft 10 mg 10 tablet,ritez sirup 60 ml,ryvel 10 mg 10 tablet,ryvel plus 10 tablet,tiriz 10 mg 10 tablet"
Obat untuk informasi obat ini hanya untuk kalangan medis. meredakan gejala2 yang berhubungan dengan rinitis alergi pada dewasa & anak >= 12 tahun,telfast 180 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. alergi rinitis,aerius sirup 60 ml
Obat untuk reaksi alergi yang memberi respons terhadap kortikosteroid,alegi 10 tablet
Obat untuk seperti urtikaria,"alegi 10 tablet,lorson 10 kaplet,lotharson 10 kaplet,mexon sirup 60 ml,proxona 10 kaplet"
Obat untuk dermatitis akut atau kronik,"alegi 10 tablet,lorson 10 kaplet,lotharson 10 kaplet,mexon sirup 60 ml,proxona 10 kaplet"
Obat untuk hay fever,"alegi 10 tablet,dexteem 10 tablet,lorson 10 kaplet,lotharson 10 kaplet,mexon sirup 60 ml,proxona 10 kaplet"
Obat untuk konjungtivitis alergi.,"alegi 10 tablet,lorson 10 kaplet,lotharson 10 kaplet,mexon sirup 60 ml,proxona 10 kaplet"
